,PropertyName,Address,Price,No_Bedrooms,No_Bathrooms,Floorsize,Property_Type,Tenure,PSF,link,Latitude,Longitude,District,State
266,LAST Condo MONTHLY RM850 [4R3B & 1350sqft] CASHBACK Up To RM50k,"Puchong, Kuala Lumpur",295000,4,3,1350,Condominium,Freehold,218.52,https://www.propertyguru.com.my/propertylisting/lastcondomonthlyrm8504r3b1350sqftcashbackuptorm50kforsalebyjoel35378002,3.0640269,101.6498472,Puchong, Kuala Lumpur
267,[Freehold] Bangsar 34 rooms | Monthly RM1500 | Free Furnish,"Bangsar, Kuala Lumpur",580000,3,2,1200,Condominium,Freehold,483.33,https://www.propertyguru.com.my/propertylisting/freeholdbangsar34roomsmonthlyrm1500freefurnishforsalebyjoel35458304,3.13083,101.66944,Bangsar, Kuala Lumpur
268,Sungai Besi Bukit Jalil Duplex Sky Condo 3 Bedrooms 2 Bathroom,"Sungai Besi, Kuala Lumpur",530000,3,2,1180,Condominium,Leasehold,449.15,https://www.propertyguru.com.my/propertylisting/sungaibesibukitjalilduplexskycondo3bedrooms2bathroomforsalebyedwardtee36163022,3.0637899,101.7080021,Sungai Besi, Kuala Lumpur
269,New condo Bandar Tasik Selatan,"Bandar Tasik Selatan, Kuala Lumpur",412000,3,2,946,Apartment,Leasehold,435.52,https://www.propertyguru.com.my/propertylisting/newcondobandartasikselatanforsalebyzulfarhansamajamal36208657,3.07609695,101.7114468,Bandar Tasik Selatan, Kuala Lumpur
270,Pavilion Damansara Heights,"Jalan Damanlela, Damansara Heights, Kuala Lumpur",1323540,2,2,826,New Project,Unknown,1602.35,https://www.propertyguru.com.my/propertylisting/paviliondamansaraheightsforsalebynicolehow33602397,3.1523954,101.6584455,Damansara Heights, Kuala Lumpur
271,Sentul Point Suite Apartment,"Jalan Sentul Pasar, Sentul, Kuala Lumpur",330000,3,2,901,Apartment,Freehold,366.26,https://www.propertyguru.com.my/propertylisting/sentulpointsuiteapartmentforsalebyjasonlim35820112,3.1786181,101.6954775,Sentul, Kuala Lumpur
272,M Centura,"No 25 Jalan Sentul Pasar, Batu, Sentul, Kuala Lumpur",330000,2,2,950,New Project,Unknown,347.37,https://www.propertyguru.com.my/propertylisting/mcenturaforsalebyjasonlim35819733,3.1786181,101.6954775,Sentul, Kuala Lumpur
273,M Arisa,"25 Jalan Sentul Pasar, Sentul, Kuala Lumpur",320000,2,2,708,New Project,Unknown,451.98,https://www.propertyguru.com.my/propertylisting/marisaforsalebyjasonlim35799974,3.1786181,101.6954775,Sentul, Kuala Lumpur
274,Gembira Residen (G Residence),"Jalan Senang Ria, Off Jalan Gembira, Happy Garden, Kuchai Lama, Kuala Lumpur",868000,4,3,1488,Condominium,Freehold,583.33,https://www.propertyguru.com.my/propertylisting/gembiraresidengresidenceforsalebydanielwu36406540,3.0894376,101.6846759,Kuchai Lama, Kuala Lumpur
275,Expressionz Professional Suites,"Jalan Tun Razak, Titiwangsa, Kuala Lumpur",800000,2,2,651,Condominium,Leasehold,1228.88,https://www.propertyguru.com.my/propertylisting/expressionzprofessionalsuitesforsalebyyennyyap36354441,3.17401135,101.6956176,Titiwangsa, Kuala Lumpur
276,KLCC Semi D Condo Fully Furnished | RM3. 5k Salary to Own | Walking Distance to MRT/LRT/KTM,"KLCC, KL City, Kuala Lumpur",450000,4,2,1000,Condominium,Freehold,450,https://www.propertyguru.com.my/propertylisting/klccsemidcondofullyfurnishedrm35ksalarytoownwalkingdistancetomrtlrtktmforsalebyjasonlim36355917,47.3776542,8.538495,KL City, Kuala Lumpur
277,Sunway Velocity Sunway Velocity Sunway Velocity,"Taman Maluri, Cheras, Kuala Lumpur",400000,3,2,1000,Condominium,Freehold,400,https://www.propertyguru.com.my/propertylisting/sunwayvelocitysunwayvelocitysunwayvelocityforsalebyjasonlim36355835,3.0991919,101.7374229,Cheras, Kuala Lumpur
278,Trinity Pentamont,"Jalan Kiara 5, Mont Kiara, Mont Kiara, Kuala Lumpur",1533000,4,5,2085,New Project,Unknown,735.25,https://www.propertyguru.com.my/propertylisting/trinitypentamontforsalebyteekaishiang35715670,3.1699988,101.6521467,Mont Kiara, Kuala Lumpur
279,The Tamarind @ Sentul East," Jalan Sentul, Sentul, Kuala Lumpur",420000,2,2,1000,Condominium,Freehold,420,https://www.propertyguru.com.my/propertylisting/thetamarindsentuleastforsalebydcleong36469263,3.1786181,101.6954775,Sentul, Kuala Lumpur
280,Allevia Mont'Kiara,"Jln Kiara 4, Mont Kiara, Kuala Lumpur",2090000,4,5,2345,New Project,Unknown,891.26,https://www.propertyguru.com.my/propertylisting/alleviamontkiaraforsalebyryantan35864751,3.1699988,101.6521467,Mont Kiara, Kuala Lumpur
281,Vista Amani Condominium," Jalan Tasik Permaisuri 3, Cheras, Kuala Lumpur",639000,5,4,2125,Condominium,Leasehold,300.71,https://www.propertyguru.com.my/propertylisting/vistaamanicondominiumforsalebymschang36658922,3.0991919,101.7374229,Cheras, Kuala Lumpur
282,Monthly RM 950 Rental RM 1800 @ Beside University & Mall | Cash Rebate RM 120k Free Manage,"Bukit Bintang, KL City, Kuala Lumpur",200000,2,1,500,Condominium,Freehold,400,https://www.propertyguru.com.my/propertylisting/monthlyrm950rentalrm1800besideuniversitymallcashrebaterm120kfreemanageforsalebyjaniceteam36578975,47.3776542,8.538495,KL City, Kuala Lumpur
283,TRX Low density [Cashback 50K] Freehold Furnished Condo,"City Centre, KL City, Kuala Lumpur",505000,3,2,968,Condominium,Freehold,521.69,https://www.propertyguru.com.my/propertylisting/trxlowdensitycashback50kfreeholdfurnishedcondoforsalebyshellychoong36650186,47.3776542,8.538495,KL City, Kuala Lumpur
284,"Fully Furnished M Residence Condo , [7 Min to TRX & KL City Centre]","Taman Maluri, Cheras, Kuala Lumpur",399000,4,3,1000,Condominium,Freehold,399,https://www.propertyguru.com.my/propertylisting/fullyfurnishedmresidencecondo7mintotrxklcitycentreforsalebyernest35338858,3.0991919,101.7374229,Cheras, Kuala Lumpur
285,Bukit Jalil @ Taman OUG | FREEHOLD Residential Low Density Condo 5 Min To Pavilion 2 3B3R,"Taman Danau Desa, Taman Desa, Kuala Lumpur",639000,3,3,1200,Condominium,Freehold,532.5,https://www.propertyguru.com.my/propertylisting/bukitjaliltamanougfreeholdresidentiallowdensitycondo5mintopavilion23b3rforsalebyjaniceteam36628203,3.1030637,101.6850208,Taman Desa, Kuala Lumpur
286,First Home Buyer RM 120k Cash Rebate @ FULL LOAN | Monthly RM 950 Beside University & Mall,"Bukit Bintang, KL City, Kuala Lumpur",200000,2,1,500,Condominium,Freehold,400,https://www.propertyguru.com.my/propertylisting/firsthomebuyerrm120kcashrebatefullloanmonthlyrm950besideuniversitymallforsalebyjaniceteam36628271,47.3776542,8.538495,KL City, Kuala Lumpur
287,NEW TOWNSHIP【CHEAPEST FREEHOLD @RM199K RM199K】+ 100% LOAN + FREE MAINTENANCE + FREE SERVICES,"Desa ParkCity, Kuala Lumpur",199999,2,2,500,Condominium,Freehold,400,https://www.propertyguru.com.my/propertylisting/newtownshipcheapestfreeholdrm199krm199k100loanfreemaintenancefreeservicesforsalebyelaineyap36071232,3.1863832,101.6318156,Desa ParkCity, Kuala Lumpur
288,Paraiso Residence @ The Earth,"Jalan Jalil 2, Bukit Jalil, Kuala Lumpur",609000,3,2,1226,Condominium,Leasehold,496.74,https://www.propertyguru.com.my/propertylisting/paraisoresidencetheearthforsalebycalvinwong36356268,3.0533462,101.6802937,Bukit Jalil, Kuala Lumpur
289,Paraiso Residence @ The Earth,"Jalan Jalil 2, Bukit Jalil, Kuala Lumpur",641000,3,2,1226,Condominium,Leasehold,522.84,https://www.propertyguru.com.my/propertylisting/paraisoresidencetheearthforsalebycalvinwong36356219,3.0533462,101.6802937,Bukit Jalil, Kuala Lumpur
290,Westside III,"Jalan Residen Utama, Desa Parkcity, Kuala Lumpur, Desa ParkCity, Kuala Lumpur",1300000,3,3,1530,Condominium,Freehold,849.67,https://www.propertyguru.com.my/propertylisting/westsideiiiforsalebyjinteok36508090,3.1863832,101.6318156,Desa ParkCity, Kuala Lumpur
